> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/classify.R")
> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/fakedata.R")
> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/perceptrain.R")
> source("/Volumes/Macintosh HD/Users/theocean154/Documents/School_files/College/Semester 8/STAT 4400/HW/stat4400/hw2/part1/plotpercep.R")
> s <- c(3,2,1)
> S <- fakedata(s, 200)
> y <- classify(S,s)
>
>
>
> S
$S
               [,1]        [,2] [,3]
  [1,]   0.34996241  0.55792272    1
  [2,]   0.27020363  0.63639241    1
  [3,]  -4.30372167 -4.02196859    1
  [4,]  -2.80608409 -2.56829678    1
  [5,]  -2.06797199 -0.31392660    1
  [6,]   2.39446759 -0.10728576    1
  [7,]  -3.72217522 -0.76131576    1
  [8,]  -0.78115738 -0.71997213    1
  [9,]   0.55825120 -0.83338372    1
 [10,]  -0.34201888 -0.70367855    1
 [11,]  -5.67977887 -4.43612848    1
 [12,]   3.64200153 -0.05013296    1
 [13,]  -5.39110129 -1.29622338    1
 [14,]  -2.90331570 -2.17801979    1
 [15,]  -2.81517808  0.25567151    1
 [16,]  -1.10999089 -0.78140682    1
 [17,]  -4.87337366 -3.05169481    1
 [18,]   0.68758700  2.14203727    1
 [19,]   2.79173419  2.85865447    1
 [20,]   1.56211860  0.17405049    1
 [21,]   1.82512922  0.90929117    1
 [22,]  -1.16291204  0.42973973    1
 [23,]   0.35416100 -0.53009713    1
 [24,]  -3.67151051 -1.71757579    1
 [25,]  -0.89554030 -2.55523215    1
 [26,]  -0.49972748 -0.17824257    1
 [27,]   2.00366736  1.61667984    1
 [28,]   7.17621295  2.87853568    1
 [29,]   8.77310597  5.39422348    1
 [30,]   1.14514559  1.26023020    1
 [31,]  -2.67212068 -2.16551911    1
 [32,]  -2.93437353 -4.42617172    1
 [33,]   0.25409067  2.55135893    1
 [34,]   0.06999895 -0.85144428    1
 [35,]  -3.09258035 -0.67425033    1
 [36,]   1.89697484 -1.30761622    1
 [37,]   7.65603930  4.63494489    1
 [38,]  -2.79975905 -2.43439356    1
 [39,]   2.60452455  0.97384503    1
 [40,]  -1.47927188 -0.33830523    1
 [41,]  -4.44151662 -3.04192704    1
 [42,]  -1.03899964 -1.77522261    1
 [43,]   1.98810585  1.19978417    1
 [44,]   0.78813718  1.75501689    1
 [45,]   0.51171498  1.24237715    1
 [46,]  -0.36705435 -1.01198514    1
 [47,]  -1.56752052 -1.84714725    1
 [48,] -10.20492403 -5.01560974    1
 [49,]  -0.33055608  1.37215913    1
 [50,]  -4.39568532 -2.95604000    1
 [51,]  -2.41309068 -1.61559944    1
 [52,]  -0.29413722 -0.60417387    1
 [53,]  -4.61383910 -3.32629150    1
 [54,]  -4.61802745 -4.36454242    1
 [55,]   2.18339593  2.15068325    1
 [56,]  -1.64642908  0.31750594    1
 [57,]  -3.08733302 -3.36888062    1
 [58,]   0.19866247  1.09055692    1
 [59,]  -2.07831948 -0.05660766    1
 [60,]  -3.26178331 -3.60948916    1
 [61,]  -5.74766654 -3.63095079    1
 [62,]   1.41352132  0.46136990    1
 [63,]  -1.86994618 -1.98615835    1
 [64,]   3.37411536  3.02116285    1
 [65,]  -1.70740353 -1.97832796    1
 [66,]   0.66204003  0.93535205    1
 [67,]   2.18678299  2.75594876    1
 [68,]  -3.05935839 -2.83472646    1
 [69,]  -0.59403954 -2.01745214    1
 [70,]   2.58735059  2.42892180    1
 [71,]  -0.54700212  0.31234790    1
 [72,]   2.12326768  1.66879518    1
 [73,]   4.73835121  3.53001244    1
 [74,]  -0.42202792  0.88252457    1
 [75,]   4.10723355  1.27170355    1
 [76,]  -1.33661935 -1.78983800    1
